level,xp_to_next,max_stamina
1,30,120
2,40,120
3,50,120
4,60,120
5,70,120
6,80,120
7,100,120
8,110,120
9,130,120
10,150,122
11,160,122
12,180,122
13,200,122
14,220,122
15,240,122
16,260,122
17,290,122
18,310,122
19,330,122
20,360,124
21,390,124
22,410,124
23,440,124
24,470,124
25,500,124
26,530,124
27,560,124
28,600,124
29,630,124
30,670,126
31,700,126
32,740,126
33,770,126
34,810,126
35,850,126
36,890,126
37,930,126
38,970,126
39,1020,126
40,1060,128
41,1100,128
42,1150,128
43,1200,128
44,1240,128
45,1290,128
46,1340,128
47,1390,128
48,1440,128
49,1490,128
50,1550,130
51,1600,130
52,1650,130
53,1710,130
54,1760,130
55,1820,130
56,1880,130
57,1940,130
58,2000,130
59,2060,130
60,2120,132
61,2180,132
62,2250,132
63,2310,132
64,2380,132
65,2440,132
66,2510,132
67,2580,132
68,2640,132
69,2710,132
70,2790,134
71,2860,134
72,2930,134
73,3000,134
74,3080,134
75,3150,134
76,3230,134
77,3300,134
78,3380,134
79,3460,134
80,3540,136
81,3620,136
82,3700,136
83,3780,136
84,3870,136
85,3950,136
86,4040,136
87,4120,136
88,4210,136
89,4300,136
90,4390,138
91,4470,138
92,4560,138
93,4660,138
94,4750,138
95,4840,138
96,4940,138
97,5030,138
98,5130,138
99,5220,138
100,0,140
