level,curve,xp_to_next,credit_cost
1,0.000000,140,100
2,0.003130,180,150
3,0.006822,220,150
4,0.010897,280,200
5,0.015289,330,200
6,0.019958,390,250
7,0.024878,450,250
8,0.030029,520,300
9,0.035394,590,300
10,0.040962,670,350
11,0.046722,750,400
12,0.052666,840,450
13,0.058784,930,450
14,0.065072,1020,500
15,0.071522,1120,550
16,0.078129,1220,600
17,0.084889,1330,650
18,0.091797,1440,700
19,0.098849,1560,750
20,0.106042,1680,800
21,0.113372,1810,850
22,0.120836,1930,900
23,0.128431,2070,1000
24,0.136155,2210,1050
25,0.144004,2350,1100
26,0.151976,2500,1200
27,0.160070,2650,1250
28,0.168283,2800,1300
29,0.176613,2970,1400
30,0.185059,3130,1450
31,0.193617,3300,1550
32,0.202287,3470,1600
33,0.211068,3650,1700
34,0.219956,3830,1750
35,0.228952,4020,1850
36,0.238053,4210,1950
37,0.247258,4410,2050
38,0.256566,4610,2100
39,0.265976,4810,2200
40,0.275486,5020,2300
41,0.285096,5230,2400
42,0.294803,5450,2500
43,0.304608,5670,2600
44,0.314508,5900,2700
45,0.324503,6130,2800
46,0.334593,6370,2900
47,0.344775,6600,3000
48,0.355049,6850,3150
49,0.365415,7100,3250
50,0.375871,7350,3350
51,0.386416,7610,3450
52,0.397051,7870,3600
53,0.407773,8130,3700
54,0.418582,8410,3850
55,0.429478,8680,3950
56,0.440459,8960,4100
57,0.451526,9240,4200
58,0.462677,9530,4350
59,0.473911,9820,4450
60,0.485228,10120,4600
61,0.496628,10420,4750
62,0.508109,10730,4900
63,0.519672,11040,5000
64,0.531315,11350,5150
65,0.543038,11670,5300
66,0.554841,11990,5450
67,0.566722,12320,5600
68,0.578681,12650,5750
69,0.590719,12990,5900
70,0.602833,13330,6050
71,0.615024,13680,6200
72,0.627292,14020,6350
73,0.639635,14380,6500
74,0.652054,14740,6700
75,0.664547,15100,6850
76,0.677115,15470,7000
77,0.689757,15840,7200
78,0.702472,16210,7350
79,0.715260,16600,7500
80,0.728121,16980,7700
81,0.741054,17370,7850
82,0.754059,17760,8050
83,0.767135,18160,8200
84,0.780283,18560,8400
85,0.793501,18970,8600
86,0.806789,19380,8750
87,0.820147,19800,8950
88,0.833574,20220,9150
89,0.847071,20640,9350
90,0.860636,21070,9550
91,0.874270,21500,9750
92,0.887972,21940,9900
93,0.901742,22380,10100
94,0.915579,22830,10300
95,0.929483,23280,10550
96,0.943454,23740,10750
97,0.957492,24190,10950
98,0.971596,24660,11150
99,0.985765,25130,11350
100,1.000000,0,0
