id,name_key,description_key,gender,age_category,attire_policy,role,preferred_position,attack_type,defense_type,weapon_class,initial_rarity,level,breakthrough,normal_skill_id,passive_skill_id,ultimate_skill_id,asset_id,portrait_asset_id,icon_asset_id,attack_interval,attack_range,move_speed,threat_modifier,stats_l1,stats_l100,tags,acquisition_source
CHR001,CHAR_MAERU_NAME,CHAR_MAERU_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,GUARDIAN,FRONT,ENERGY,BARRIER,HEAVY,3,1,0,SK_CHR001_NORMAL,SK_CHR001_PASSIVE,SK_CHR001_ULTIMATE,sd_chr001_dev,portrait_chr001_dev,icon_chr001_dev,1.095,1.8,3.0,1.8,"{""HP"":1280,""ATK"":102,""DEF"":88,""ACC"":108,""EVA"":520,""CRIT"":92,""CRIT_RES"":50,""HEAL_POWER"":84,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":10800,""ATK"":710,""DEF"":540,""ACC"":298,""EVA"":610,""CRIT"":272,""CRIT_RES"":180,""HEAL_POWER"":490,""HASTE"":12,""DAMAGE_REDUCTION"":6,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|GUARDIAN,DEFAULT
CHR002,CHAR_ROAN_NAME,CHAR_ROAN_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,VANGUARD,FRONT,PHYSICAL,ARMOR,BLADE,2,1,0,SK_CHR002_NORMAL,SK_CHR002_PASSIVE,SK_CHR002_ULTIMATE,sd_chr002_dev,portrait_chr002_dev,icon_chr002_dev,1.14,1.8,3.2,1.25,"{""HP"":980,""ATK"":126,""DEF"":66,""ACC"":112,""EVA"":500,""CRIT"":88,""CRIT_RES"":50,""HEAL_POWER"":70,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":8200,""ATK"":920,""DEF"":390,""ACC"":302,""EVA"":590,""CRIT"":268,""CRIT_RES"":180,""HEAL_POWER"":360,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|VANGUARD,DEFAULT
CHR003,CHAR_NARIN_NAME,CHAR_NARIN_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,ASSAULT,MIDDLE,PHYSICAL,ARMOR,RIFLE,3,1,0,SK_CHR003_NORMAL,SK_CHR003_PASSIVE,SK_CHR003_ULTIMATE,sd_chr003_dev,portrait_chr003_dev,icon_chr003_dev,1.185,5.2,2.8,1.0,"{""HP"":760,""ATK"":146,""DEF"":44,""ACC"":128,""EVA"":540,""CRIT"":74,""CRIT_RES"":50,""HEAL_POWER"":58,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":6100,""ATK"":1080,""DEF"":280,""ACC"":318,""EVA"":630,""CRIT"":254,""CRIT_RES"":180,""HEAL_POWER"":300,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|ASSAULT,DEFAULT
CHR004,CHAR_EDA_NAME,CHAR_EDA_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,ASSAULT,MIDDLE,ENERGY,BARRIER,COMPACT,2,1,0,SK_CHR004_NORMAL,SK_CHR004_PASSIVE,SK_CHR004_ULTIMATE,sd_chr004_dev,portrait_chr004_dev,icon_chr004_dev,1.23,5.2,3.0,1.0,"{""HP"":720,""ATK"":151,""DEF"":42,""ACC"":132,""EVA"":550,""CRIT"":76,""CRIT_RES"":50,""HEAL_POWER"":60,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":5800,""ATK"":1110,""DEF"":270,""ACC"":322,""EVA"":640,""CRIT"":256,""CRIT_RES"":180,""HEAL_POWER"":315,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|ASSAULT,DEFAULT
CHR005,CHAR_SOREN_NAME,CHAR_SOREN_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,ARTILLERY,BACK,ANOMALY,WARD,HEAVY,3,1,0,SK_CHR005_NORMAL,SK_CHR005_PASSIVE,SK_CHR005_ULTIMATE,sd_chr005_dev,portrait_chr005_dev,icon_chr005_dev,1.275,7.0,3.2,1.0,"{""HP"":690,""ATK"":158,""DEF"":38,""ACC"":118,""EVA"":480,""CRIT"":82,""CRIT_RES"":50,""HEAL_POWER"":55,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":5600,""ATK"":1160,""DEF"":250,""ACC"":308,""EVA"":570,""CRIT"":262,""CRIT_RES"":180,""HEAL_POWER"":330,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|ARTILLERY,DEFAULT
CHR006,CHAR_VERA_NAME,CHAR_VERA_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,SPECIALIST,MIDDLE,ENERGY,WARD,FOCUS,2,1,0,SK_CHR006_NORMAL,SK_CHR006_PASSIVE,SK_CHR006_ULTIMATE,sd_chr006_dev,portrait_chr006_dev,icon_chr006_dev,1.32,5.2,2.8,1.0,"{""HP"":740,""ATK"":112,""DEF"":46,""ACC"":124,""EVA"":510,""CRIT"":80,""CRIT_RES"":50,""HEAL_POWER"":64,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":6000,""ATK"":820,""DEF"":295,""ACC"":314,""EVA"":600,""CRIT"":260,""CRIT_RES"":180,""HEAL_POWER"":380,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|SPECIALIST,EVENT_CONTACT
CHR007,CHAR_TOA_NAME,CHAR_TOA_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,SPECIALIST,BACK,ANOMALY,BARRIER,SUPPORT_DEVICE,3,1,0,SK_CHR007_NORMAL,SK_CHR007_PASSIVE,SK_CHR007_ULTIMATE,sd_chr007_dev,portrait_chr007_dev,icon_chr007_dev,1.365,7.0,3.0,1.0,"{""HP"":790,""ATK"":105,""DEF"":49,""ACC"":121,""EVA"":505,""CRIT"":78,""CRIT_RES"":50,""HEAL_POWER"":66,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":6400,""ATK"":770,""DEF"":305,""ACC"":311,""EVA"":595,""CRIT"":258,""CRIT_RES"":180,""HEAL_POWER"":400,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|SPECIALIST,EVENT_CONTACT
CHR008,CHAR_IRI_NAME,CHAR_IRI_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,MEDIC,BACK,ENERGY,BARRIER,SUPPORT_DEVICE,3,1,0,SK_CHR008_NORMAL,SK_CHR008_PASSIVE,SK_CHR008_ULTIMATE,sd_chr008_dev,portrait_chr008_dev,icon_chr008_dev,1.41,7.0,3.2,1.0,"{""HP"":960,""ATK"":105,""DEF"":62,""ACC"":125,""EVA"":520,""CRIT"":92,""CRIT_RES"":50,""HEAL_POWER"":180,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":8000,""ATK"":760,""DEF"":390,""ACC"":315,""EVA"":610,""CRIT"":272,""CRIT_RES"":180,""HEAL_POWER"":1320,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|MEDIC,EVENT_CONTACT
CHR009,CHAR_LIV_NAME,CHAR_LIV_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,VANGUARD,FRONT,PHYSICAL,ARMOR,BLADE,3,1,0,SK_CHR009_NORMAL,SK_CHR009_PASSIVE,SK_CHR009_ULTIMATE,sd_chr009_dev,portrait_chr009_dev,icon_chr009_dev,1.455,1.8,2.8,1.25,"{""HP"":1024,""ATK"":141,""DEF"":65,""ACC"":116,""EVA"":506,""CRIT"":107,""CRIT_RES"":50,""HEAL_POWER"":81,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":8512,""ATK"":1077,""DEF"":426,""ACC"":306,""EVA"":596,""CRIT"":287,""CRIT_RES"":180,""HEAL_POWER"":647,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|VANGUARD,EVENT_CONTACT
CHR010,CHAR_SEON_NAME,CHAR_SEON_DESC,FEMALE,ADULT,MAXIMUM_NON_EXPLICIT,MEDIC,BACK,ENERGY,BARRIER,SUPPORT_DEVICE,2,1,0,SK_CHR010_NORMAL,SK_CHR010_PASSIVE,SK_CHR010_ULTIMATE,sd_chr010_dev,portrait_chr010_dev,icon_chr010_dev,1.5,7.0,3.0,1.0,"{""HP"":887,""ATK"":96,""DEF"":56,""ACC"":120,""EVA"":498,""CRIT"":82,""CRIT_RES"":50,""HEAL_POWER"":158,""HASTE"":0,""DAMAGE_REDUCTION"":0,""STATUS_RESIST"":0}","{""HP"":7416,""ATK"":762,""DEF"":372,""ACC"":310,""EVA"":588,""CRIT"":262,""CRIT_RES"":180,""HEAL_POWER"":1186,""HASTE"":12,""DAMAGE_REDUCTION"":2,""STATUS_RESIST"":15}",DEV_NAME|LANTERNLINE|MEDIC,EVENT_CONTACT
