id,name_key,gender,rank,role,attack_type,defense_type,level,stats,attack_interval,asset_id,patterns
ENM001,ENEMY_RUSH_WISP,GENDERLESS_NONHUMAN,NORMAL,MELEE_RUSH,PHYSICAL,ARMOR,1,"{""HP"":520,""ATK"":70,""DEF"":28,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_enm001_dev,[]
ENM002,ENEMY_ARC_MOTE,GENDERLESS_NONHUMAN,NORMAL,RANGED,ENERGY,BARRIER,1,"{""HP"":440,""ATK"":82,""DEF"":22,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_enm002_dev,[]
ENM003,ENEMY_SHELL_RELAY,GENDERLESS_NONHUMAN,NORMAL,DEFENDER,PHYSICAL,ARMOR,1,"{""HP"":760,""ATK"":55,""DEF"":62,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_enm003_dev,[]
ENM004,ENEMY_MEND_ECHO,GENDERLESS_NONHUMAN,NORMAL,HEALER,ENERGY,WARD,1,"{""HP"":470,""ATK"":48,""DEF"":30,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_enm004_dev,[]
ENM005,ENEMY_CHORUS_BIT,GENDERLESS_NONHUMAN,NORMAL,BUFFER,ANOMALY,WARD,1,"{""HP"":500,""ATK"":58,""DEF"":34,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_enm005_dev,[]
ENM006,ENEMY_DUST_LENS,GENDERLESS_NONHUMAN,NORMAL,DEBUFFER,ANOMALY,BARRIER,1,"{""HP"":480,""ATK"":64,""DEF"":27,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_enm006_dev,[]
ENM007,ENEMY_WARDEN_FRAME,GENDERLESS_NONHUMAN,ELITE,SUMMONER,ENERGY,ARMOR,1,"{""HP"":1700,""ATK"":118,""DEF"":88,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_enm007_dev,[]
ENM008,ENEMY_BROADCASTER,GENDERLESS_NONHUMAN,ELITE,AREA,ANOMALY,WARD,1,"{""HP"":1500,""ATK"":134,""DEF"":64,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_enm008_dev,[]
ENM009,ENEMY_IRON_CANTOR,GENDERLESS_NONHUMAN,ELITE,DEFENDER,PHYSICAL,BARRIER,1,"{""HP"":2100,""ATK"":105,""DEF"":112,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_enm009_dev,[]
BOSS001,ENEMY_HOLLOW_ENGINE,GENDERLESS_NONHUMAN,BOSS,BOSS_PATTERN,ENERGY,ARMOR,1,"{""HP"":7200,""ATK"":175,""DEF"":126,""ACC"":105,""EVA"":70,""CRIT"":65,""CRIT_RES"":45,""HEAL_POWER"":80}",1.45,enemy_boss001_dev,"[{""condition"":""TIME"",""value"":18,""action"":""IMPLODE"",""damage_multiplier"":0.78},{""condition"":""HP_BELOW"",""value"":0.62,""action"":""PHASE_2""},{""condition"":""TIME_LEFT_BELOW"",""value"":20,""action"":""RUPTURE"",""damage_multiplier"":1.04}]"
