key,text
CHAR_EDA_DESC,An original DEV character serving as ASSAULT of the Lamplighters.
CHAR_EDA_NAME,Eda (DEV)
CHAR_IRI_DESC,An original DEV character serving as MEDIC of the Lamplighters.
CHAR_IRI_NAME,Iri (DEV)
CHAR_MAERU_DESC,An original DEV character serving as GUARDIAN of the Lamplighters.
CHAR_MAERU_NAME,Maeru (DEV)
CHAR_NARIN_DESC,An original DEV character serving as ASSAULT of the Lamplighters.
CHAR_NARIN_NAME,Narin (DEV)
CHAR_ROAN_DESC,An original DEV character serving as VANGUARD of the Lamplighters.
CHAR_ROAN_NAME,Roan (DEV)
CHAR_SOREN_DESC,An original DEV character serving as ARTILLERY of the Lamplighters.
CHAR_SOREN_NAME,Soren (DEV)
CHAR_TOA_DESC,An original DEV character serving as SPECIALIST of the Lamplighters.
CHAR_TOA_NAME,Toa (DEV)
CHAR_VERA_DESC,An original DEV character serving as SPECIALIST of the Lamplighters.
CHAR_VERA_NAME,Vera (DEV)
CHOICE_LIGHT,Check the light first
CHOICE_RECORD,Secure the recorder
ENEMY_ARC_MOTE,Echoform ENM002 (DEV)
ENEMY_BROADCASTER,Echoform ENM008 (DEV)
ENEMY_CHORUS_BIT,Echoform ENM005 (DEV)
ENEMY_DUST_LENS,Echoform ENM006 (DEV)
ENEMY_HOLLOW_ENGINE,Echoform BOSS001 (DEV)
ENEMY_IRON_CANTOR,Echoform ENM009 (DEV)
ENEMY_MEND_ECHO,Echoform ENM004 (DEV)
ENEMY_NIGHT_BELL,Echoform BOSS002 (DEV)
ENEMY_RUSH_WISP,Echoform ENM001 (DEV)
ENEMY_SHELL_RELAY,Echoform ENM003 (DEV)
ENEMY_WARDEN_FRAME,Echoform ENM007 (DEV)
GAME_SUBTITLE,People reconnecting stories in a lightless world
GAME_TITLE,Lanternline: Afterglow Records
ITEM_BLUEPRINT_T1,BLUEPRINT_T1
ITEM_BLUEPRINT_T2,BLUEPRINT_T2
ITEM_BLUEPRINT_T3,BLUEPRINT_T3
ITEM_BLUEPRINT_T4,BLUEPRINT_T4
ITEM_BREAK_CORE_T1,BREAK_CORE_T1
ITEM_BREAK_CORE_T2,BREAK_CORE_T2
ITEM_BREAK_CORE_T3,BREAK_CORE_T3
ITEM_BREAK_CORE_T4,BREAK_CORE_T4
ITEM_CREDIT,CREDIT
ITEM_FACTION_SEAL_T1,FACTION_SEAL_T1
ITEM_FACTION_SEAL_T2,FACTION_SEAL_T2
ITEM_FACTION_SEAL_T3,FACTION_SEAL_T3
ITEM_LANTERN_SHARD,LANTERN_SHARD
