id,name_key,category,xp_value,presentation_tier,icon_asset_id
CREDIT,ITEM_CREDIT,CREDIT,0,STANDARD,item_credit_dev
LANTERN_SHARD,ITEM_LANTERN_SHARD,LANTERN,0,RARE,item_lantern_shard_dev
EXPEDITION_ROUTE_MODULE_A,ITEM_EXPEDITION_ROUTE_MODULE_A,EXPEDITION,0,MAJOR,item_lantern_shard_dev
EXPEDITION_ROUTE_MODULE_B,ITEM_EXPEDITION_ROUTE_MODULE_B,EXPEDITION,0,MAJOR,item_lantern_shard_dev
TRAINING_NOTE_S,ITEM_TRAINING_NOTE_S,TRAINING,100,STANDARD,item_training_note_s_dev
TRAINING_NOTE_M,ITEM_TRAINING_NOTE_M,TRAINING,500,STANDARD,item_training_note_m_dev
TRAINING_NOTE_L,ITEM_TRAINING_NOTE_L,TRAINING,2500,STANDARD,item_training_note_l_dev
TRAINING_NOTE_XL,ITEM_TRAINING_NOTE_XL,TRAINING,10000,STANDARD,item_training_note_xl_dev
BREAK_CORE_T1,ITEM_BREAK_CORE_T1,BREAK,0,STANDARD,item_break_core_t1_dev
BREAK_CORE_T2,ITEM_BREAK_CORE_T2,BREAK,0,STANDARD,item_break_core_t2_dev
BREAK_CORE_T3,ITEM_BREAK_CORE_T3,BREAK,0,RARE,item_break_core_t3_dev
BREAK_CORE_T4,ITEM_BREAK_CORE_T4,BREAK,0,MAJOR,item_break_core_t4_dev
ROLE_TOKEN_T1,ITEM_ROLE_TOKEN_T1,ROLE,0,STANDARD,item_role_token_t1_dev
ROLE_TOKEN_T2,ITEM_ROLE_TOKEN_T2,ROLE,0,STANDARD,item_role_token_t2_dev
ROLE_TOKEN_T3,ITEM_ROLE_TOKEN_T3,ROLE,0,RARE,item_role_token_t3_dev
ROLE_TOKEN_T4,ITEM_ROLE_TOKEN_T4,ROLE,0,MAJOR,item_role_token_t4_dev
FACTION_SEAL_T1,ITEM_FACTION_SEAL_T1,FACTION,0,STANDARD,item_faction_seal_t1_dev
FACTION_SEAL_T2,ITEM_FACTION_SEAL_T2,FACTION,0,STANDARD,item_faction_seal_t2_dev
FACTION_SEAL_T3,ITEM_FACTION_SEAL_T3,FACTION,0,RARE,item_faction_seal_t3_dev
SKILL_BOOK_T1,ITEM_SKILL_BOOK_T1,SKILL,0,STANDARD,item_skill_book_t1_dev
SKILL_BOOK_T2,ITEM_SKILL_BOOK_T2,SKILL,0,STANDARD,item_skill_book_t2_dev
SKILL_BOOK_T3,ITEM_SKILL_BOOK_T3,SKILL,0,RARE,item_skill_book_t3_dev
SKILL_BOOK_T4,ITEM_SKILL_BOOK_T4,SKILL,0,MAJOR,item_skill_book_t4_dev
SKILL_TOKEN_T1,ITEM_SKILL_TOKEN_T1,SKILL,0,STANDARD,item_skill_token_t1_dev
SKILL_TOKEN_T2,ITEM_SKILL_TOKEN_T2,SKILL,0,STANDARD,item_skill_token_t2_dev
SKILL_TOKEN_T3,ITEM_SKILL_TOKEN_T3,SKILL,0,RARE,item_skill_token_t3_dev
SKILL_TOKEN_T4,ITEM_SKILL_TOKEN_T4,SKILL,0,MAJOR,item_skill_token_t4_dev
ULT_BOOK_T1,ITEM_ULT_BOOK_T1,ULT,0,STANDARD,item_ult_book_t1_dev
ULT_BOOK_T2,ITEM_ULT_BOOK_T2,ULT,0,STANDARD,item_ult_book_t2_dev
ULT_BOOK_T3,ITEM_ULT_BOOK_T3,ULT,0,RARE,item_ult_book_t3_dev
ULT_BOOK_T4,ITEM_ULT_BOOK_T4,ULT,0,MAJOR,item_ult_book_t4_dev
WEAPON_CHIP_S,ITEM_WEAPON_CHIP_S,WEAPON,100,STANDARD,item_weapon_chip_s_dev
WEAPON_CHIP_M,ITEM_WEAPON_CHIP_M,WEAPON,500,STANDARD,item_weapon_chip_m_dev
WEAPON_CHIP_L,ITEM_WEAPON_CHIP_L,WEAPON,2500,STANDARD,item_weapon_chip_l_dev
WEAPON_CHIP_XL,ITEM_WEAPON_CHIP_XL,WEAPON,10000,STANDARD,item_weapon_chip_xl_dev
WEAPON_ORE_T1,ITEM_WEAPON_ORE_T1,WEAPON,0,STANDARD,item_weapon_ore_t1_dev
WEAPON_ORE_T2,ITEM_WEAPON_ORE_T2,WEAPON,0,STANDARD,item_weapon_ore_t2_dev
WEAPON_ORE_T3,ITEM_WEAPON_ORE_T3,WEAPON,0,RARE,item_weapon_ore_t3_dev
WEAPON_ORE_T4,ITEM_WEAPON_ORE_T4,WEAPON,0,MAJOR,item_weapon_ore_t4_dev
BLUEPRINT_T1,ITEM_BLUEPRINT_T1,BLUEPRINT,0,STANDARD,item_blueprint_t1_dev
BLUEPRINT_T2,ITEM_BLUEPRINT_T2,BLUEPRINT,0,STANDARD,item_blueprint_t2_dev
BLUEPRINT_T3,ITEM_BLUEPRINT_T3,BLUEPRINT,0,RARE,item_blueprint_t3_dev
BLUEPRINT_T4,ITEM_BLUEPRINT_T4,BLUEPRINT,0,MAJOR,item_blueprint_t4_dev
UNIVERSAL_CATALYST,ITEM_UNIVERSAL_CATALYST,UNIVERSAL,0,MAJOR,item_universal_catalyst_dev
SHARD_CHR001,ITEM_SHARD_CHR001,SHARD,0,STANDARD,item_shard_chr001_dev
SHARD_CHR002,ITEM_SHARD_CHR002,SHARD,0,STANDARD,item_shard_chr002_dev
SHARD_CHR003,ITEM_SHARD_CHR003,SHARD,0,STANDARD,item_shard_chr003_dev
SHARD_CHR004,ITEM_SHARD_CHR004,SHARD,0,STANDARD,item_shard_chr004_dev
SHARD_CHR005,ITEM_SHARD_CHR005,SHARD,0,STANDARD,item_shard_chr005_dev
SHARD_CHR006,ITEM_SHARD_CHR006,SHARD,0,STANDARD,item_shard_chr006_dev
SHARD_CHR007,ITEM_SHARD_CHR007,SHARD,0,STANDARD,item_shard_chr007_dev
SHARD_CHR008,ITEM_SHARD_CHR008,SHARD,0,STANDARD,item_shard_chr008_dev
SHARD_CHR009,ITEM_SHARD_CHR009,SHARD,0,STANDARD,item_shard_chr009_dev
SHARD_CHR010,ITEM_SHARD_CHR010,SHARD,0,STANDARD,item_shard_chr010_dev
SHARD_CHR011,ITEM_SHARD_CHR011,SHARD,0,STANDARD,item_shard_chr011_dev
SHARD_CHR012,ITEM_SHARD_CHR012,SHARD,0,STANDARD,item_shard_chr012_dev
SHARD_CHR013,ITEM_SHARD_CHR013,SHARD,0,STANDARD,item_shard_chr013_dev
SHARD_CHR014,ITEM_SHARD_CHR014,SHARD,0,STANDARD,item_shard_chr014_dev
SHARD_CHR015,ITEM_SHARD_CHR015,SHARD,0,STANDARD,item_shard_chr015_dev
SHARD_CHR016,ITEM_SHARD_CHR016,SHARD,0,STANDARD,item_shard_chr016_dev
SHARD_CHR017,ITEM_SHARD_CHR017,SHARD,0,STANDARD,item_shard_chr017_dev
SHARD_CHR018,ITEM_SHARD_CHR018,SHARD,0,STANDARD,item_shard_chr018_dev
SHARD_CHR019,ITEM_SHARD_CHR019,SHARD,0,STANDARD,item_shard_chr019_dev
SHARD_CHR020,ITEM_SHARD_CHR020,SHARD,0,STANDARD,item_shard_chr020_dev
SHARD_CHR021,ITEM_SHARD_CHR021,SHARD,0,STANDARD,item_shard_chr021_dev
SHARD_CHR022,ITEM_SHARD_CHR022,SHARD,0,STANDARD,item_shard_chr022_dev
SHARD_CHR023,ITEM_SHARD_CHR023,SHARD,0,STANDARD,item_shard_chr023_dev
SHARD_CHR024,ITEM_SHARD_CHR024,SHARD,0,STANDARD,item_shard_chr024_dev
SHARD_CHR025,ITEM_SHARD_CHR025,SHARD,0,STANDARD,item_shard_chr025_dev
SHARD_CHR026,ITEM_SHARD_CHR026,SHARD,0,STANDARD,item_shard_chr026_dev
SHARD_CHR027,ITEM_SHARD_CHR027,SHARD,0,STANDARD,item_shard_chr027_dev
SHARD_CHR028,ITEM_SHARD_CHR028,SHARD,0,STANDARD,item_shard_chr028_dev
SHARD_CHR029,ITEM_SHARD_CHR029,SHARD,0,STANDARD,item_shard_chr029_dev
SHARD_CHR030,ITEM_SHARD_CHR030,SHARD,0,STANDARD,item_shard_chr030_dev
SHARD_CHR031,ITEM_SHARD_CHR031,SHARD,0,STANDARD,item_shard_chr031_dev
SHARD_CHR032,ITEM_SHARD_CHR032,SHARD,0,STANDARD,item_shard_chr032_dev
SHARD_CHR033,ITEM_SHARD_CHR033,SHARD,0,STANDARD,item_shard_chr033_dev
SHARD_CHR034,ITEM_SHARD_CHR034,SHARD,0,STANDARD,item_shard_chr034_dev
SHARD_CHR035,ITEM_SHARD_CHR035,SHARD,0,STANDARD,item_shard_chr035_dev
SHARD_CHR036,ITEM_SHARD_CHR036,SHARD,0,STANDARD,item_shard_chr036_dev
SHARD_CHR037,ITEM_SHARD_CHR037,SHARD,0,STANDARD,item_shard_chr037_dev
SHARD_CHR038,ITEM_SHARD_CHR038,SHARD,0,STANDARD,item_shard_chr038_dev
SHARD_CHR039,ITEM_SHARD_CHR039,SHARD,0,STANDARD,item_shard_chr039_dev
SHARD_CHR040,ITEM_SHARD_CHR040,SHARD,0,STANDARD,item_shard_chr040_dev
SHARD_CHR041,ITEM_SHARD_CHR041,SHARD,0,STANDARD,item_shard_chr041_dev
