skill_type,target_level,cost
NORMAL_OR_PASSIVE,2,"{""SKILL_BOOK_T1"":3,""CREDIT"":500}"
NORMAL_OR_PASSIVE,3,"{""SKILL_BOOK_T1"":6,""SKILL_TOKEN_T1"":2,""CREDIT"":1000}"
NORMAL_OR_PASSIVE,4,"{""SKILL_BOOK_T1"":9,""SKILL_TOKEN_T1"":4,""CREDIT"":2000}"
NORMAL_OR_PASSIVE,5,"{""SKILL_BOOK_T2"":6,""SKILL_TOKEN_T1"":8,""CREDIT"":4000}"
NORMAL_OR_PASSIVE,6,"{""SKILL_BOOK_T2"":10,""SKILL_TOKEN_T2"":5,""CREDIT"":8000}"
NORMAL_OR_PASSIVE,7,"{""SKILL_BOOK_T3"":6,""SKILL_TOKEN_T2"":10,""CREDIT"":16000}"
NORMAL_OR_PASSIVE,8,"{""SKILL_BOOK_T3"":10,""SKILL_TOKEN_T3"":6,""CREDIT"":30000}"
NORMAL_OR_PASSIVE,9,"{""SKILL_BOOK_T4"":6,""SKILL_TOKEN_T3"":12,""CREDIT"":55000}"
NORMAL_OR_PASSIVE,10,"{""SKILL_BOOK_T4"":10,""SKILL_TOKEN_T4"":8,""UNIVERSAL_CATALYST"":1,""CREDIT"":100000}"
ULTIMATE,2,"{""ULT_BOOK_T1"":8,""SKILL_TOKEN_T1"":4,""CREDIT"":5000}"
ULTIMATE,3,"{""ULT_BOOK_T2"":12,""SKILL_TOKEN_T2"":8,""CREDIT"":20000}"
ULTIMATE,4,"{""ULT_BOOK_T3"":16,""SKILL_TOKEN_T3"":12,""UNIVERSAL_CATALYST"":1,""CREDIT"":60000}"
ULTIMATE,5,"{""ULT_BOOK_T4"":20,""SKILL_TOKEN_T4"":16,""UNIVERSAL_CATALYST"":3,""CREDIT"":150000}"
