id,name_key,weapon_class,level,tier,max_level,primary_stat,primary_l1,primary_l60,secondary_stat,secondary_t3,secondary_t5,exclusive_owner_id
WPN001,WEAPON_BLADE_V1,BLADE,1,1,60,ATK,21,205,ACC,13,30,
WPN002,WEAPON_COMPACT_V1,COMPACT,1,1,60,ATK,24,220,CRIT,14,32,
WPN003,WEAPON_RIFLE_V1,RIFLE,1,1,60,ATK,27,235,ACC,15,34,
WPN004,WEAPON_HEAVY_V1,HEAVY,1,1,60,ATK,30,250,CRIT,16,36,
WPN005,WEAPON_FOCUS_V1,FOCUS,1,1,60,ATK,33,265,ACC,17,38,
WPN006,WEAPON_SUPPORT_DEVICE_V1,SUPPORT_DEVICE,1,1,60,HEAL_POWER,36,280,CRIT,18,40,
WPN007,WEAPON_BLADE_V2,BLADE,1,1,60,ATK,23,217,EVA,16,34,
WPN008,WEAPON_COMPACT_V2,COMPACT,1,1,60,ATK,26,232,EVA,17,36,
WPN009,WEAPON_RIFLE_V2,RIFLE,1,1,60,ATK,29,247,EVA,18,38,
WPN010,WEAPON_HEAVY_V2,HEAVY,1,1,60,ATK,32,262,EVA,19,40,
WPN011,WEAPON_FOCUS_V2,FOCUS,1,1,60,ATK,35,277,EVA,20,42,
WPN012,WEAPON_SUPPORT_DEVICE_V2,SUPPORT_DEVICE,1,1,60,HEAL_POWER,38,292,EVA,21,44,
