key,text
CHAR_EDA_DESC,A Lamplighter serving as ASSAULT of the expedition.
CHAR_EDA_NAME,Eda
CHAR_IRI_DESC,A Lamplighter serving as MEDIC of the expedition.
CHAR_IRI_NAME,Iri
CHAR_MAERU_DESC,A Lamplighter serving as GUARDIAN of the expedition.
CHAR_MAERU_NAME,Maeru
CHAR_NARIN_DESC,A Lamplighter serving as ASSAULT of the expedition.
CHAR_NARIN_NAME,Narin
CHAR_ROAN_DESC,A Lamplighter serving as VANGUARD of the expedition.
CHAR_ROAN_NAME,Roan
CHAR_SOREN_DESC,A Lamplighter serving as ARTILLERY of the expedition.
CHAR_SOREN_NAME,Soren
CHAR_TOA_DESC,A Lamplighter serving as SPECIALIST of the expedition.
CHAR_TOA_NAME,Toa
CHAR_VERA_DESC,A Lamplighter serving as SPECIALIST of the expedition.
CHAR_VERA_NAME,Vera
CHOICE_LIGHT,Check the light first
CHOICE_RECORD,Secure the recorder
ENEMY_ARC_MOTE,Echoform ENM002
ENEMY_BROADCASTER,Echoform ENM008
ENEMY_CHORUS_BIT,Echoform ENM005
ENEMY_DUST_LENS,Echoform ENM006
ENEMY_HOLLOW_ENGINE,Echoform BOSS001
ENEMY_IRON_CANTOR,Echoform ENM009
ENEMY_MEND_ECHO,Echoform ENM004
ENEMY_NIGHT_BELL,Echoform BOSS002
ENEMY_RUSH_WISP,Echoform ENM001
ENEMY_SHELL_RELAY,Echoform ENM003
ENEMY_WARDEN_FRAME,Echoform ENM007
GAME_SUBTITLE,People reconnecting stories in a lightless world
GAME_TITLE,Lanternline: Afterglow Records
ITEM_BLUEPRINT_T1,BLUEPRINT_T1
ITEM_BLUEPRINT_T2,BLUEPRINT_T2
ITEM_BLUEPRINT_T3,BLUEPRINT_T3
ITEM_BLUEPRINT_T4,BLUEPRINT_T4
ITEM_BREAK_CORE_T1,BREAK_CORE_T1
ITEM_BREAK_CORE_T2,BREAK_CORE_T2
ITEM_BREAK_CORE_T3,BREAK_CORE_T3
ITEM_BREAK_CORE_T4,BREAK_CORE_T4
ITEM_CREDIT,CREDIT
ITEM_FACTION_SEAL_T1,FACTION_SEAL_T1
ITEM_FACTION_SEAL_T2,FACTION_SEAL_T2
ITEM_FACTION_SEAL_T3,FACTION_SEAL_T3
ITEM_LANTERN_SHARD,LANTERN_SHARD
ITEM_ROLE_TOKEN_T1,ROLE_TOKEN_T1
ITEM_ROLE_TOKEN_T2,ROLE_TOKEN_T2
ITEM_ROLE_TOKEN_T3,ROLE_TOKEN_T3
ITEM_ROLE_TOKEN_T4,ROLE_TOKEN_T4
ITEM_SHARD_CHR001,SHARD_CHR001
ITEM_SHARD_CHR002,SHARD_CHR002
ITEM_SHARD_CHR003,SHARD_CHR003
ITEM_SHARD_CHR004,SHARD_CHR004
ITEM_SHARD_CHR005,SHARD_CHR005
ITEM_SHARD_CHR006,SHARD_CHR006
ITEM_SHARD_CHR007,SHARD_CHR007
ITEM_SHARD_CHR008,SHARD_CHR008
ITEM_SKILL_BOOK_T1,SKILL_BOOK_T1
ITEM_SKILL_BOOK_T2,SKILL_BOOK_T2
ITEM_SKILL_BOOK_T3,SKILL_BOOK_T3
ITEM_SKILL_BOOK_T4,SKILL_BOOK_T4
ITEM_SKILL_TOKEN_T1,SKILL_TOKEN_T1
ITEM_SKILL_TOKEN_T2,SKILL_TOKEN_T2
ITEM_SKILL_TOKEN_T3,SKILL_TOKEN_T3
ITEM_SKILL_TOKEN_T4,SKILL_TOKEN_T4
ITEM_TRAINING_NOTE_L,TRAINING_NOTE_L
