asset_id,entity_id,entity_type,required_usage,current_path,current_status,uses_fallback,fallback_source,source_blend_exists,source_blend_path,render_script_exists,render_command,frame_count,resolution,alpha,runtime_integrated,license_status,replacement_required,priority,notes
sd_chr001,CHR001,PLAYER,portrait+combat,godot/assets/art/sd/CHR001,ART_QA_CANDIDATE,false,,true,asset_share/blender_sources/characters/CHR001/CHR001_SD_R5.blend,true,BUILD_SD_ASSETS.ps1 R5,80,512x512,true,true,ORIGINAL_INTERNAL,false,P0,technical pass visual approval pending
sd_chr008,CHR008,PLAYER,portrait+combat,godot/assets/art/sd/CHR008,ART_QA_CANDIDATE,false,,true,asset_share/blender_sources/characters/CHR008/CHR008_SD_R5.blend,true,BUILD_SD_ASSETS.ps1 R5,80,512x512,true,true,ORIGINAL_INTERNAL,false,P0,technical pass visual approval pending
sd_chr006,CHR006,PLAYER,combat,runtime fallback,DEV_PLACEHOLDER,true,generic fallback,false,,false,,0,n/a,true,false,PROJECT_DEV_GENERATED,true,P1,pilot approval required before production
sd_chr007,CHR007,PLAYER,combat,runtime fallback,DEV_PLACEHOLDER,true,generic fallback,false,,false,,0,n/a,true,false,PROJECT_DEV_GENERATED,true,P1,pilot approval required before production
sd_enm001,ENM001,NORMAL_ENEMY,combat,godot/assets/art/enemies/ENM001,ART_QA_CANDIDATE,false,,true,asset_share/blender_sources/enemies/ENM001/ENM001_SD_R5.blend,true,BUILD_ENEMY_ASSETS.ps1 R5,80,512x512,true,true,ORIGINAL_INTERNAL,false,P0,dark matte warnings remain
sd_enm007,ENM007,ELITE_ENEMY,combat,godot/assets/art/enemies/ENM007,ART_QA_CANDIDATE,false,,true,asset_share/blender_sources/enemies/ENM007/ENM007_SD_R5.blend,true,BUILD_ENEMY_ASSETS.ps1 R5,80,512x512,true,true,ORIGINAL_INTERNAL,false,P0,dark matte warnings remain
sd_boss001,BOSS001,BOSS,combat,godot/assets/art/bosses/BOSS001,ART_QA_CANDIDATE,false,,true,asset_share/blender_sources/bosses/BOSS001/BOSS001_SD_R5.blend,true,BUILD_BOSS_ASSETS.ps1 R5,80,512x512,true,true,ORIGINAL_INTERNAL,false,P0,dark matte warnings remain
sd_other_enemies,ENM003-ENM009+BOSS002,ENEMY,combat,runtime fallback,DEV_PLACEHOLDER,true,generic fallback,false,,false,,0,n/a,true,false,PROJECT_DEV_GENERATED,true,P1,7 entities remain
bg_story,BG_STORY_RELAY,BACKGROUND,story,godot/assets/art/backgrounds/BG_STORY_RELAY,ART_QA_CANDIDATE,false,,true,asset_share/blender_sources/backgrounds/BG_STORY_RELAY,true,BUILD_BACKGROUNDS.ps1 R5,1,1920x1080,false,true,ORIGINAL_INTERNAL,false,P0,actual Web story verified
bg_battle,BG_BATTLE_GLASS_RAIL,BACKGROUND,battle,godot/assets/art/backgrounds/BG_BATTLE_GLASS_RAIL,VISUAL_PASS,false,,true,asset_share/blender_sources/backgrounds/BG_BATTLE_GLASS_RAIL,true,BUILD_BACKGROUNDS.ps1 R5,1,1920x1080,false,true,ORIGINAL_INTERNAL,false,P0,actual Web battle verified
bg_boss,BG_BOSS_SIGNAL_CATHEDRAL,BACKGROUND,boss,godot/assets/art/backgrounds/BG_BOSS_SIGNAL_CATHEDRAL,ART_QA_CANDIDATE,false,,true,asset_share/blender_sources/backgrounds/BG_BOSS_SIGNAL_CATHEDRAL,true,BUILD_BACKGROUNDS.ps1 R5,1,1920x1080,false,true,ORIGINAL_INTERNAL,false,P0,browser boss flow not captured
cg_pilot,CG_CH01_PILOT_TEAMWORK,CG,event,godot/assets/art/cg/CG_CH01_PILOT_TEAMWORK,ART_QA_CANDIDATE,false,,true,asset_share/blender_sources/cg/CG_CH01_PILOT_TEAMWORK,true,BUILD_EVENT_CG.ps1 R5,1,1920x1080,false,true,ORIGINAL_INTERNAL,false,P0,runtime import verified
ui_pilot,UI_PILOT,UI,9 screens,Godot Control theme,REJECTED,false,,false,,false,,0,1920x1080,false,true,ORIGINAL_INTERNAL,true,P0,title home formation result growth remain DEV visual quality
