asset_id,category,event,source_path,runtime_path,source_bytes,runtime_bytes,source_sha256,runtime_sha256,ownership_status,commercial_use,attribution_required,license_name,license_url,source_url,creator,rights_basis
audio_bgm_title_en,BGM,TITLE,"Title,ending/01_wake_the_black_star.wav",res://assets/audio/bgm/title_theme_full.mp3,4097476,4097476,3b8e941f264c2a20976055cfcabc9aefc9930cabbe105a2e57c3a6042f6bece3,3b8e941f264c2a20976055cfcabc9aefc9930cabbe105a2e57c3a6042f6bece3,USER_OWNED,True,False,,,,,USER_ASSERTED_MANUS_ORIGINALS_2026-08-19
audio_bgm_lobby,BGM,LOBBY,BGM/final_wav/073_lobby_menu_1.wav,res://assets/audio/bgm/lobby_menu_full.wav,25901538,2518240,bb908ccf10dbfc2590ab202c5761ac2e649fd4206111003e665bbbab7dd2c200,cc713e0aad36d40a82c89973029f9d80ef5b4766791ee37295c5d91982c797b9,USER_OWNED,True,False,,,,,USER_ASSERTED_MANUS_ORIGINALS_2026-08-19
audio_bgm_story,BGM,STORY,BGM/final_wav/019_scenario_emotional_1.wav,res://assets/audio/bgm/story_emotional_full.wav,25911276,2519186,23ef458c4782d1094158fc844be3ffd23a8bd48ee8740419ba5327deb51e7877,43fc8da1f1e002cf8370ce9999e0bdf7114f19f645c49876c1de79e6706e231f,USER_OWNED,True,False,,,,,USER_ASSERTED_MANUS_ORIGINALS_2026-08-19
audio_bgm_battle,BGM,BATTLE,BGM/final_wav/037_battle_tactical_1.wav,res://assets/audio/bgm/battle_tactical_full.wav,25901682,2518254,17631d654a877baeabbc612f95504dfa9eee263b9adf10ff22b44d4a0c2a8077,eddbfd137e489cd2725dd7fc47000c07031313b68bb3e3aed5c68091f4641f7c,USER_OWNED,True,False,,,,,USER_ASSERTED_MANUS_ORIGINALS_2026-08-19
audio_bgm_boss,BGM,BOSS,BGM/final_wav/055_boss_battle_1.wav,res://assets/audio/bgm/boss_battle_full.wav,25910478,2519108,0eed64094fb7eca6c39b320c08e598dbdd72ee808ea83d3c1b172bde1389b775,0f1e6a6aee1ebd956e3f74327522ef52c38782cc708eaa6b57b7a9c18353954e,USER_OWNED,True,False,,,,,USER_ASSERTED_MANUS_ORIGINALS_2026-08-19
audio_sfx_firearm_1911_a_42p,SFX,PLAYER_BASIC_ATTACK,data_source/audio_source/public_cc0/free_firearm_sfx/1911_A_42P.wav,res://assets/audio/sfx/public/firearm/1911_A_42P.wav,5489450,460844,8e84438e771c157155a6a1ff47a6a7a7d81b6f39b185d41e426c57337a82254a,20b4e165d66d7760d88ef106b99dd11c691dc83ef65b35554cfa47a0f8449bf1,CC0-1.0,True,False,Creative Commons CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode,https://opengameart.org/content/the-free-firearm-sound-library,Ben Jaszczak; Brian Nelson; Kevin Heras; Matthew Nanney,CC0_NO_RIGHTS_RESERVED_DECLARATION_ON_SOURCE_PAGE
audio_sfx_firearm_ak47_burst_c_29p,SFX,BOSS_BASIC_ATTACK,data_source/audio_source/public_cc0/free_firearm_sfx/ak47_burst_C_29P.wav,res://assets/audio/sfx/public/firearm/ak47_burst_C_29P.wav,4993166,537644,d8731d4c9afce639964fbb5a529677e75c6eb316176aee405d6f634707360987,a19b43ba0b41ed74dd9d0250a10a8be87ef283fb7b99cc41a96621f5ed9eb258,CC0-1.0,True,False,Creative Commons CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode,https://opengameart.org/content/the-free-firearm-sound-library,Ben Jaszczak; Brian Nelson; Kevin Heras; Matthew Nanney,CC0_NO_RIGHTS_RESERVED_DECLARATION_ON_SOURCE_PAGE
audio_sfx_firearm_ak47_c_28p,SFX,ENEMY_BASIC_ATTACK,data_source/audio_source/public_cc0/free_firearm_sfx/ak47_C_28P.wav,res://assets/audio/sfx/public/firearm/ak47_C_28P.wav,7188780,460844,e0934c1d79192d2216db62fdf6ab57bf9d5d585267af367a1cfb21f0972a537d,a49047c6eb6a21ec86f9a19a9811e6c2792defdaee799dd502b8fa0f791bc4e1,CC0-1.0,True,False,Creative Commons CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode,https://opengameart.org/content/the-free-firearm-sound-library,Ben Jaszczak; Brian Nelson; Kevin Heras; Matthew Nanney,CC0_NO_RIGHTS_RESERVED_DECLARATION_ON_SOURCE_PAGE
audio_sfx_firearm_ar15_d_32p,SFX,PLAYER_BASIC_ATTACK,data_source/audio_source/public_cc0/free_firearm_sfx/ar15_D_32P.wav,res://assets/audio/sfx/public/firearm/ar15_D_32P.wav,5889684,460844,acee9d2106b68fe5956225a19d7aedf943d97793817f9bda9d486a2b74b0a812,0a29346e30dcfd7590932e9d922f545462cb3731f040e8fe2090cb8c6e17813d,CC0-1.0,True,False,Creative Commons CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode,https://opengameart.org/content/the-free-firearm-sound-library,Ben Jaszczak; Brian Nelson; Kevin Heras; Matthew Nanney,CC0_NO_RIGHTS_RESERVED_DECLARATION_ON_SOURCE_PAGE
audio_sfx_firearm_m45_burst_g_33p,SFX,BOSS_BASIC_ATTACK,data_source/audio_source/public_cc0/free_firearm_sfx/m45_burst_G_33P.wav,res://assets/audio/sfx/public/firearm/m45_burst_G_33P.wav,6773400,537644,e31414f6c410634008662424631942a7966181430a6e0fc306f3b4d51d16495e,cb81dbda3ff5841997d55f4189e9aefcdebf895f5995fd7af9b3524eb0320537,CC0-1.0,True,False,Creative Commons CC0 1.0 Universal,https://creativecommons.org/publicdomain/zero/1.0/legalcode,https://opengameart.org/content/the-free-firearm-sound-library,Ben Jaszczak; Brian Nelson; Kevin Heras; Matthew Nanney,CC0_NO_RIGHTS_RESERVED_DECLARATION_ON_SOURCE_PAGE
