card_id,profile_group,effect,base_asset_id,accent_asset_id
SK_CHR002_NORMAL,DAMAGE,DAMAGE,audio_sfx_firearm_1911_a_42p,audio_sfx_bang_bang_05
SK_CHR002_ULTIMATE,DAMAGE,DAMAGE,audio_sfx_firearm_walther_ppq_x_31p,audio_sfx_bang_bang_05
SK_CHR003_NORMAL,DAMAGE,DAMAGE,audio_sfx_firearm_ar15_d_32p,audio_sfx_bang_bang_05
SK_CHR003_ULTIMATE,DAMAGE,DAMAGE,audio_sfx_firearm_ak47_c_28p,audio_sfx_bang_bang_05
SK_CHR004_NORMAL,DAMAGE,DAMAGE,audio_sfx_firearm_tikka_w_24p,audio_sfx_bang_bang_05
SK_CHR004_ULTIMATE,DAMAGE,DAMAGE,audio_sfx_firearm_sks_u_14p,audio_sfx_bang_bang_05
SK_CHR005_NORMAL,DAMAGE,AOE_DAMAGE,audio_sfx_firearm_nova_o_21p,audio_sfx_bang_bang_05
SK_CHR005_ULTIMATE,DAMAGE,AOE_DAMAGE,audio_sfx_firearm_model12_k_17p,audio_sfx_bang_bang_05
SK_CHR006_NORMAL,DAMAGE,SLOW,audio_sfx_firearm_ak47_burst_c_29p,audio_sfx_bang_bang_05
SK_CHR006_ULTIMATE,DAMAGE,DEBUFF,audio_sfx_firearm_m45_burst_g_33p,audio_sfx_bang_bang_05
SK_CHR009_NORMAL,DAMAGE,DAMAGE,audio_sfx_firearm_ppsh_burst_p_32p,audio_sfx_bang_bang_05
SK_CHR009_ULTIMATE,DAMAGE,DAMAGE,audio_sfx_firearm_savage300_t_27p,audio_sfx_bang_bang_05
SK_CHR011_NORMAL,DAMAGE,AOE_DAMAGE,audio_sfx_bang_cannon_01,audio_sfx_bang_bang_05
SK_CHR011_ULTIMATE,DAMAGE,AOE_DAMAGE,audio_sfx_bang_cannon_02,audio_sfx_bang_bang_05
SK_CHR012_NORMAL,DAMAGE,DEBUFF,audio_sfx_bang_cannon_03,audio_sfx_bang_bang_05
SK_CHR014_NORMAL,DAMAGE,DAMAGE,audio_sfx_bang_cannon_04,audio_sfx_bang_bang_05
SK_CHR014_ULTIMATE,DAMAGE,DAMAGE,audio_sfx_bang_cannon_05,audio_sfx_bang_bang_05
SK_CHR015_NORMAL,DAMAGE,AOE_DAMAGE,audio_sfx_firearm_1911_a_42p,audio_sfx_bang_bang_06
