entity_id,type,illustration,portrait,icon,sd_pack,animation,vfx,map_pawn,battle_integration,story_integration,stage_integration,fallback_used,qa_status
CHR001,PLAYER,PARTIAL,PARTIAL,PARTIAL,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,FALSE,STATIC_PASS_SHA256_LINEAGE/PENDING_GPT_WEB_R6P2/PENDING_GPT_WEB_R6P2; RUNTIME_WEB_COMBAT_ATLAS
CHR002,PLAYER,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,FALSE,STATIC_PASS/PASS_GPT_WEB_R2/PASS_GPT_WEB_R2; RUNTIME_WEB_COMBAT_ATLAS
CHR003,PLAYER,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,FALSE,STATIC_PASS/PASS_GPT_WEB_R1/PASS_GPT_WEB_R1; RUNTIME_WEB_COMBAT_ATLAS
CHR004,PLAYER,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,FALSE,STATIC_PASS/PASS_GPT_WEB_R1/PASS_GPT_WEB_R1; RUNTIME_WEB_COMBAT_ATLAS
CHR005,PLAYER,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,FALSE,STATIC_PASS/PASS_GPT_WEB_R1/PASS_GPT_WEB_R1; RUNTIME_WEB_COMBAT_ATLAS
CHR006,PLAYER,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,FALSE,STATIC_PASS/PASS_GPT_WEB_R1/PASS_GPT_WEB_R1; RUNTIME_WEB_COMBAT_ATLAS
CHR007,PLAYER,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,FALSE,STATIC_PASS/PASS_GPT_WEB_R1/PASS_GPT_WEB_R1; RUNTIME_WEB_COMBAT_ATLAS
CHR008,PLAYER,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,FALSE,STATIC_PASS/PASS_GPT_WEB_R1/PASS_GPT_WEB_R1; RUNTIME_WEB_COMBAT_ATLAS
ENM001,ENEMY_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,PARTIAL,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,COMPLETE,FALSE,RUNTIME_WEB_COMBAT_ATLAS
ENM002,ENEMY_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,PARTIAL,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,COMPLETE,FALSE,RUNTIME_WEB_COMBAT_ATLAS
ENM003,ENEMY_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,PARTIAL,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,COMPLETE,FALSE,IMAGEGEN_STATIC_ANIMATED_SOURCE
ENM004,ENEMY_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,PARTIAL,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,COMPLETE,FALSE,IMAGEGEN_STATIC_ANIMATED_SOURCE
ENM005,ENEMY_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,PARTIAL,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,COMPLETE,FALSE,IMAGEGEN_STATIC_ANIMATED_SOURCE
ENM006,ENEMY_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,PARTIAL,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,COMPLETE,FALSE,IMAGEGEN_STATIC_ANIMATED_SOURCE
ENM007,ENEMY_ELITE,NOT_APPLICABLE,NOT_APPLICABLE,PARTIAL,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,COMPLETE,FALSE,RUNTIME_WEB_COMBAT_ATLAS
ENM008,ENEMY_ELITE,NOT_APPLICABLE,NOT_APPLICABLE,PARTIAL,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,COMPLETE,FALSE,IMAGEGEN_STATIC_ANIMATED_SOURCE
ENM009,ENEMY_ELITE,NOT_APPLICABLE,NOT_APPLICABLE,PARTIAL,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,COMPLETE,FALSE,IMAGEGEN_STATIC_ANIMATED_SOURCE
BOSS001,ENEMY_BOSS,NOT_APPLICABLE,NOT_APPLICABLE,PARTIAL,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,COMPLETE,FALSE,RUNTIME_WEB_COMBAT_ATLAS
BOSS002,ENEMY_BOSS,NOT_APPLICABLE,NOT_APPLICABLE,PARTIAL,COMPLETE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,COMPLETE,FALSE,IMAGEGEN_STATIC_ANIMATED_SOURCE
CH01-N01,STAGE_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,PARTIAL,COMPLETE,FALSE,WAVES_2
CH01-N02,STAGE_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,PARTIAL,COMPLETE,FALSE,WAVES_2
CH01-N03,STAGE_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,PARTIAL,COMPLETE,FALSE,WAVES_2
CH01-N04,STAGE_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,PARTIAL,COMPLETE,FALSE,WAVES_2
CH01-N05,STAGE_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,PARTIAL,COMPLETE,FALSE,WAVES_2
CH01-N06,STAGE_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,PARTIAL,COMPLETE,FALSE,WAVES_3
CH01-N07,STAGE_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,PARTIAL,COMPLETE,FALSE,WAVES_2
CH01-N08,STAGE_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,PARTIAL,COMPLETE,FALSE,WAVES_2
CH01-N09,STAGE_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,PARTIAL,COMPLETE,FALSE,WAVES_3
CH01-N10,STAGE_NORMAL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,PARTIAL,COMPLETE,FALSE,WAVES_3
CH01-H01,STAGE_HARD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,PARTIAL,COMPLETE,FALSE,WAVES_2
CH01-H02,STAGE_HARD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,PARTIAL,COMPLETE,FALSE,WAVES_2
CH01-H03,STAGE_HARD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,PARTIAL,COMPLETE,FALSE,WAVES_3
CH01-H04,STAGE_HARD,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,PARTIAL,COMPLETE,FALSE,WAVES_2
