rank,relative_path,size_bytes,category
1,index.pck,334091952,runtime
2,index.wasm,39513091,runtime
3,index.js,279815,runtime
4,index.512x512.png,45330,UI
5,index.icon.png,45330,UI
6,index.png,21443,UI
7,index.180x180.png,12160,UI
8,index.apple-touch-icon.png,12160,UI
9,index.144x144.png,8704,UI
10,index.audio.worklet.js,7298,runtime
11,index.service.worker.js,5828,runtime
12,index.html,5539,runtime
13,index.audio.position.worklet.js,2973,runtime
14,LICENSES.md,1260,runtime
15,index.offline.html,719,runtime
16,index.manifest.json,335,runtime
17,README_HTML.md,331,runtime
18,VERSION.json,266,runtime
